id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1761,False,2.0,30.0,99.0,841.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1762,True,31.0,681.0,480.0,4416.0,3,0,2,0,employee,0,33,11.0,0,0.0,0
1765,True,2.0,64.0,28.0,207.0,2,0,1,0,employee,0,10,5.0,0,0.0,0
1766,False,3.0,71.0,50.0,561.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1767,False,3.0,25.0,175.0,1242.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1769,False,9.0,201.0,495.0,4329.0,2,0,2,0,employee,0,18,9.0,0,0.5,2
1770,True,8.0,63.0,767.0,6485.0,4,0,3,0,employee,0,45,11.25,0,0.0,4
1772,True,17.0,377.0,370.0,3560.0,1,0,1,0,employee,0,3,3.0,0,0.0,10
1773,False,3.0,11.0,49.0,395.0,2,0,1,0,employee,0,11,5.5,0,0.0,0
1774,False,10.0,506.0,455.0,2988.0,2,0,2,0,employee,0,10,5.0,0,0.0,1
1775,False,2.0,14.0,42.0,368.0,2,0,1,0,employee,0,10,5.0,0,0.0,0
1777,False,1.0,2.0,14.0,151.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1778,False,3.0,125.0,362.0,4042.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1784,False,1.0,7.0,144.0,1570.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1785,True,14.0,667.0,367.0,4176.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1789,False,1.0,28.0,1.0,0.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1791,False,1.0,10.0,0.0,-22.0,0,0,0,0,employee,0,0,0,0,0,0
1792,False,3.0,154.0,53.0,501.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1793,False,40.0,1582.0,446.0,5182.0,5,0,3,0,employee,0,72,14.4,0,0.0,1
1795,False,3.0,28.0,100.0,938.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1797,False,4.0,26.0,357.0,3915.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1798,False,155.0,973.0,6159.0,49150.0,2,0,2,0,employee,0,34,17.0,0,0.0,2
1801,False,14.0,146.0,987.0,9510.0,4,0,3,0,employee,0,22,5.5,0,0.25,0
1805,False,2.0,4.0,1.0,4.0,0,0,0,0,employee,0,0,0,0,0,0
1806,False,33.0,1814.0,329.0,2710.0,1,0,1,0,employee,0,5,5.0,0,0.0,1
1807,True,77.0,393.0,2629.0,20157.0,5,0,3,0,employee,0,48,9.6,0,0.0,0
1808,False,70.0,2765.0,638.0,7408.0,2,0,1,0,employee,0,10,5.0,0,0.0,0
1811,False,4.0,62.0,121.0,1112.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
