project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
presto,5e192c0e6e6dcb67d55208f62ce8650b636c3757850bca0006df80b4c5eb52c92589a3537e4f5e18,5022,5e192c0e6e6dcb67d55208f62ce8650b636c3757,850bca0006df80b4c5eb52c92589a3537e4f5e18,2280.0,2280.0,23196.0,23197.0,12.0,12.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
presto,468249168ce917e9f8de7fc82531d5328493d1e7c2b87636dd91e2412adfc7518abf157fdc9c4995,5024,468249168ce917e9f8de7fc82531d5328493d1e7,c2b87636dd91e2412adfc7518abf157fdc9c4995,2279.0,2279.0,23185.0,23185.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,84f10868377eafb7274d7f063bffcbce8cfc7a82fdad339d647fe7cfc6587e02c48f3cba27b87206,5029,84f10868377eafb7274d7f063bffcbce8cfc7a82,fdad339d647fe7cfc6587e02c48f3cba27b87206,2279.0,2279.0,23185.0,23185.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,ad7fd326367c134fed93f4d050ced857051459b9fd2bf7d972c703a603f7ec043b96649347f7e184,5031,ad7fd326367c134fed93f4d050ced857051459b9,fd2bf7d972c703a603f7ec043b96649347f7e184,2277.0,2276.0,23185.0,23185.0,12.0,12.0,9,9,-1.0,0.0,0.0,0,positive,invariant,invariant,invariant
presto,aa342e8b5e7dde642e36b88c7f695b14b1e9816cad7fd326367c134fed93f4d050ced857051459b9,5031,aa342e8b5e7dde642e36b88c7f695b14b1e9816c,ad7fd326367c134fed93f4d050ced857051459b9,2276.0,2276.0,23185.0,23186.0,12.0,12.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
presto,3b997675e7d29feb02bedb40d9c4b248a170ad9eaa342e8b5e7dde642e36b88c7f695b14b1e9816c,5031,3b997675e7d29feb02bedb40d9c4b248a170ad9e,aa342e8b5e7dde642e36b88c7f695b14b1e9816c,2276.0,2276.0,23186.0,23190.0,12.0,12.0,9,9,0.0,4.0,0.0,0,invariant,negative,invariant,invariant
presto,69dd4fff06b39adbbe193c0eeda92b3525d2a26a84f10868377eafb7274d7f063bffcbce8cfc7a82,5034,69dd4fff06b39adbbe193c0eeda92b3525d2a26a,84f10868377eafb7274d7f063bffcbce8cfc7a82,2279.0,2279.0,23185.0,23185.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,41b482e000abd241b410405d7634f8c908da8b511380637f37133f90e6c0fbe51bae83c2bc325cca,5037,41b482e000abd241b410405d7634f8c908da8b51,1380637f37133f90e6c0fbe51bae83c2bc325cca,2307.0,2307.0,23810.0,23810.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,4cef7cc37cd0f15c12956b0b0baa4253a1117eb8f7bbfcd45dad4c5b59445e896afb7dc4a352e56b,5037,4cef7cc37cd0f15c12956b0b0baa4253a1117eb8,f7bbfcd45dad4c5b59445e896afb7dc4a352e56b,2307.0,2311.0,23810.0,23837.0,12.0,12.0,9,9,4.0,27.0,0.0,0,negative,negative,invariant,invariant
presto,f7bbfcd45dad4c5b59445e896afb7dc4a352e56b41b482e000abd241b410405d7634f8c908da8b51,5037,f7bbfcd45dad4c5b59445e896afb7dc4a352e56b,41b482e000abd241b410405d7634f8c908da8b51,2307.0,2307.0,23810.0,23810.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
