project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
okhttp,7b4b7fecb23a3e18733e150bd0100f7b2bdd5632fcfa234eeeee243d4a460a2bf5b63024e14d75ef,4628,7b4b7fecb23a3e18733e150bd0100f7b2bdd5632,fcfa234eeeee243d4a460a2bf5b63024e14d75ef,406.0,406,4701.0,4702,9.0,9.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,59e68cd2bcba789e7faca70f8910afd2edeed2be9493b59700d8df0c75c9340618df27edb29b3bfe,4629,59e68cd2bcba789e7faca70f8910afd2edeed2be,9493b59700d8df0c75c9340618df27edb29b3bfe,406.0,404,4702.0,4703,9.0,9.0,9,9,-2.0,1.0,0.0,0,positive,negative,invariant,invariant
okhttp,d882f202eb893c9d2d853d52e08e462a1c95e7bb36c70605cc2a6beb7e091fc8b5cfcc84350af9aa,4630,d882f202eb893c9d2d853d52e08e462a1c95e7bb,36c70605cc2a6beb7e091fc8b5cfcc84350af9aa,404.0,404,4703.0,4705,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,f9587aad2c1b60e81784e20bfe40ca4a5e741f39815d7538676a6ea51c2ec7f11512ed68f31358d7,4631,f9587aad2c1b60e81784e20bfe40ca4a5e741f39,815d7538676a6ea51c2ec7f11512ed68f31358d7,404.0,404,4705.0,4707,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,88a958cc71cd54397bf4a74c9e5c47fd12d3b4d03160d28d7fa5a3e51bba9d415e5b68a9c3064fae,4634,88a958cc71cd54397bf4a74c9e5c47fd12d3b4d0,3160d28d7fa5a3e51bba9d415e5b68a9c3064fae,404.0,403,4707.0,4707,9.0,9.0,9,9,-1.0,0.0,0.0,0,positive,invariant,invariant,invariant
okhttp,8ca07d21f6bd847e3d6f3d85d255ee37961a40d486e9332de092c546c1c98210d59a4feb82424d8b,4635,8ca07d21f6bd847e3d6f3d85d255ee37961a40d4,86e9332de092c546c1c98210d59a4feb82424d8b,404.0,404,4709.0,4709,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,77bea52d0c372135bf6b6bb0cbff8fa927b3f2ed38cba03ec2d476bafaa24de947119da301ac33df,4639,77bea52d0c372135bf6b6bb0cbff8fa927b3f2ed,38cba03ec2d476bafaa24de947119da301ac33df,403.0,403,4709.0,4709,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,0914607dd75bbd647ee67bcd4b08b7f3549f236419466ca4c0d43ebc69cdbc219b0298a8a6db30b4,4641,0914607dd75bbd647ee67bcd4b08b7f3549f2364,19466ca4c0d43ebc69cdbc219b0298a8a6db30b4,403.0,404,4709.0,4731,9.0,9.0,9,9,1.0,22.0,0.0,0,negative,negative,invariant,invariant
okhttp,4c03ed2075ffa171c357385570a2e25159d47d61078380d3213479e1ccca6223acebb3b13513ea93,4642,4c03ed2075ffa171c357385570a2e25159d47d61,078380d3213479e1ccca6223acebb3b13513ea93,404.0,404,4731.0,4732,9.0,9.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,e890ba61421b2ad67215ca4a39d51bab53898daf77df7b041aadf9c871b95f5345a387a638623e8f,4644,e890ba61421b2ad67215ca4a39d51bab53898daf,77df7b041aadf9c871b95f5345a387a638623e8f,404.0,404,4731.0,4733,9.0,9.0,9,9,0.0,2.0,0.0,0,invariant,negative,invariant,invariant
okhttp,c8b1ee602bcd1541dd3f9eebb72aef08338f6224cccf6e4118cf9ba9688871553587a72038fa7371,4645,c8b1ee602bcd1541dd3f9eebb72aef08338f6224,cccf6e4118cf9ba9688871553587a72038fa7371,404.0,404,4734.0,4740,9.0,9.0,9,9,0.0,6.0,0.0,0,invariant,negative,invariant,invariant
okhttp,652f3a1d36298f15677a7eda7838fa5c04d6016bcccf6e4118cf9ba9688871553587a72038fa7371,4647,652f3a1d36298f15677a7eda7838fa5c04d6016b,cccf6e4118cf9ba9688871553587a72038fa7371,404.0,404,4734.0,4734,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,aac6c8da0720c53ccd8aa8385f8f250f78a7b61c03f4170e8904b17da25a07a768183cee5ee48616,4649,aac6c8da0720c53ccd8aa8385f8f250f78a7b61c,03f4170e8904b17da25a07a768183cee5ee48616,404.0,404,4740.0,4739,9.0,9.0,9,9,0.0,-1.0,0.0,0,invariant,positive,invariant,invariant
okhttp,da20361db5470a7bcbee0bcb1bffc92a8416989303f4170e8904b17da25a07a768183cee5ee48616,4650,da20361db5470a7bcbee0bcb1bffc92a84169893,03f4170e8904b17da25a07a768183cee5ee48616,404.0,404,4740.0,4740,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,8b98cce9415825f9d5ddb9ce0921a02dde34a77b1a1a6827ceaecf5f0310872b97a1f5d9350b1398,4653,8b98cce9415825f9d5ddb9ce0921a02dde34a77b,1a1a6827ceaecf5f0310872b97a1f5d9350b1398,404.0,404,4739.0,4739,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,98b90339135077a883681e83d1a86671687b5f3ec5606f79033d7c3d11d75b9a0e15498da079f15e,4654,98b90339135077a883681e83d1a86671687b5f3e,c5606f79033d7c3d11d75b9a0e15498da079f15e,404.0,404,4739.0,4739,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
