project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
RxJava,4b4d4fe741e9396560b186427a15faf803d423de737e38acb7c3392e88bd81aa9aa7da80387ff2da,6,4b4d4fe741e9396560b186427a15faf803d423de,737e38acb7c3392e88bd81aa9aa7da80387ff2da,112.0,110.0,692.0,692.0,4.0,4.0,6,6,-2.0,0.0,0.0,0,positive,invariant,invariant,invariant
RxJava,96b3801250c561bdcfc7504100309176ec502f574b4d4fe741e9396560b186427a15faf803d423de,6,96b3801250c561bdcfc7504100309176ec502f57,4b4d4fe741e9396560b186427a15faf803d423de,110.0,110.0,692.0,692.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,e9d98fc0b6cb9931e0fb85b21030702a27de22b996b3801250c561bdcfc7504100309176ec502f57,6,e9d98fc0b6cb9931e0fb85b21030702a27de22b9,96b3801250c561bdcfc7504100309176ec502f57,110.0,110.0,692.0,692.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,e893ad2c837e06f459e5a8f554c2aabc7d42259d984cb1bbd8556d014eb325381ada8a2af4a13455,27,e893ad2c837e06f459e5a8f554c2aabc7d42259d,984cb1bbd8556d014eb325381ada8a2af4a13455,110.0,110.0,692.0,692.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,d2b7f1e9371013f859fda1c6e0f3221b705c5629e893ad2c837e06f459e5a8f554c2aabc7d42259d,27,d2b7f1e9371013f859fda1c6e0f3221b705c5629,e893ad2c837e06f459e5a8f554c2aabc7d42259d,110.0,110.0,692.0,692.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,e5d9d9c26cee43b2a435f0ecddf8f0c676fa80a5aba4cbbe9d00da920deb191da719541a013e7282,106,e5d9d9c26cee43b2a435f0ecddf8f0c676fa80a5,aba4cbbe9d00da920deb191da719541a013e7282,110.0,122.0,692.0,751.0,4.0,8.0,6,6,12.0,59.0,4.0,0,negative,negative,negative,invariant
RxJava,787d8fc0215c5bab541f61c2d69a91753d46255948cd6ccfbaab366bf082726d32f24dac2b4a8f91,107,787d8fc0215c5bab541f61c2d69a91753d462559,48cd6ccfbaab366bf082726d32f24dac2b4a8f91,122.0,126.0,751.0,785.0,8.0,8.0,6,6,4.0,34.0,0.0,0,negative,negative,invariant,invariant
RxJava,9eb049791037ecb65da18b562ff57804fbd6e942787d8fc0215c5bab541f61c2d69a91753d462559,107,9eb049791037ecb65da18b562ff57804fbd6e942,787d8fc0215c5bab541f61c2d69a91753d462559,126.0,148.0,785.0,785.0,8.0,8.0,6,6,22.0,0.0,0.0,0,negative,invariant,invariant,invariant
RxJava,6e0a15499b5bc6612419f771ca9a78bf52a041fb9eb049791037ecb65da18b562ff57804fbd6e942,107,6e0a15499b5bc6612419f771ca9a78bf52a041fb,9eb049791037ecb65da18b562ff57804fbd6e942,148.0,145.0,785.0,757.0,8.0,8.0,6,6,-3.0,-28.0,0.0,0,positive,positive,invariant,invariant
RxJava,967337e24e594c9a0fc19436b993ce549c93d288fa1af64cd44b1df370e39394a479e3c33335fc6c,108,967337e24e594c9a0fc19436b993ce549c93d288,fa1af64cd44b1df370e39394a479e3c33335fc6c,145.0,146.0,757.0,767.0,8.0,8.0,6,6,1.0,10.0,0.0,0,negative,negative,invariant,invariant
RxJava,c7f554f26d4ce3439299d772b7d3ea91071decb5967337e24e594c9a0fc19436b993ce549c93d288,108,c7f554f26d4ce3439299d772b7d3ea91071decb5,967337e24e594c9a0fc19436b993ce549c93d288,146.0,146.0,767.0,767.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,d58d3b3ca405a5bd151f3958893715971d28a89efa1af64cd44b1df370e39394a479e3c33335fc6c,109,d58d3b3ca405a5bd151f3958893715971d28a89e,fa1af64cd44b1df370e39394a479e3c33335fc6c,145.0,148.0,757.0,757.0,8.0,8.0,6,6,3.0,0.0,0.0,0,negative,invariant,invariant,invariant
