id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
17,True,43.0,557.0,2402.0,17218.0,0,0,0,0,employee,0,0,0,0,0,119
22,True,5.0,453.0,43.0,458.0,0,0,0,0,employee,0,0,0,0,0,89
25,False,5.0,122.0,78.0,833.0,1,0,0,1,employee,0,4,4.0,0,0.0,81
26,True,77.0,5191.0,968.0,9930.0,13,1,0,3,employee,2,545,41.92307692307692,2042,0.9230769230769231,30
31,True,241.0,9391.0,3307.0,25860.0,9,0,0,3,employee,0,123,13.666666666666666,0,3.3333333333333335,55
32,False,8.0,60.0,269.0,2171.0,0,0,0,0,employee,0,0,0,0,0,0
33,False,4.0,44.0,92.0,771.0,0,0,0,0,employee,0,0,0,0,0,0
37,False,26.0,216.0,378.0,3809.0,0,0,0,0,employee,0,0,0,0,0,0
42,False,1.0,2.0,19.0,145.0,0,0,0,0,employee,0,0,0,0,0,0
44,False,21.0,176.0,18.0,1913.0,2,0,0,2,employee,0,15,7.5,0,0.0,0
45,False,2.0,36.0,31.0,451.0,6,0,1,2,employee,0,55,9.166666666666666,0,0.16666666666666666,2
46,False,4.0,107.0,503.0,4952.0,0,0,0,0,employee,0,0,0,0,0,0
47,False,2.0,24.0,42.0,257.0,5,1,0,1,temporary,0,39,7.8,0,0.2,1
49,True,30.0,158.0,1554.0,11014.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
51,False,37.0,283.0,2822.0,18215.0,1,0,0,1,employee,0,2,2.0,0,0.0,2
52,False,127.0,275.0,4497.0,36260.0,0,0,0,0,employee,0,0,0,0,0,0
53,True,6.0,501.0,27.0,507.0,2,1,0,1,employee,0,26,13.0,0,183.0,0
54,False,1.0,12.0,4.0,12.0,0,0,0,0,employee,0,0,0,0,0,0
57,True,22.0,2421.0,1120.0,7129.0,9,0,0,3,employee,0,168,18.666666666666668,0,0.0,8
70,False,3.0,60.0,74.0,617.0,4,1,0,2,temporary,0,33,8.25,0,0.0,0
73,False,1.0,10.0,50.0,304.0,3,0,0,2,employee,0,31,10.333333333333334,0,0.0,0
75,True,22.0,396.0,98.0,903.0,8,0,1,2,employee,0,98,12.25,0,0.0,0
80,False,4.0,80.0,28.0,341.0,11,0,0,3,employee,0,127,11.545454545454545,0,0.36363636363636365,6
85,True,14.0,1930.0,136.0,1619.0,1,0,0,1,employee,0,17,17.0,0,0.0,2
92,False,5.0,10.0,15.0,425.0,0,0,0,0,employee,0,0,0,0,0,0
95,False,533.0,1227.0,8564.0,85879.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
105,False,1.0,10.0,45.0,580.0,0,0,0,0,employee,0,0,0,0,0,0
115,False,11.0,209.0,106.0,1257.0,4,0,1,2,employee,0,25,6.25,0,0.75,0
117,False,23.0,622.0,204.0,2472.0,0,0,0,0,employee,0,0,0,0,0,0
119,False,1.0,77.0,2.0,78.0,1,0,0,1,employee,0,10,10.0,0,0.0,0
121,False,8.0,11.0,113.0,1517.0,0,0,0,0,employee,0,0,0,0,0,2
123,False,7.0,81.0,95.0,1105.0,4,0,0,2,employee,0,28,7.0,0,0.0,0
126,False,52.0,5923.0,377.0,4867.0,0,0,0,0,employee,0,0,0,0,0,0
128,False,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
132,False,50.0,6390.0,409.0,5102.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
135,False,4.0,167.0,15.0,367.0,1,0,0,1,employee,0,7,7.0,0,0.0,1
136,False,5.0,171.0,17.0,445.0,0,0,0,0,employee,0,0,0,0,0,0
151,False,4.0,0.0,0.0,0.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
155,False,1.0,26.0,7.0,64.0,0,0,0,0,temporary,0,0,0,0,0,0
159,False,1.0,17.0,21.0,173.0,0,0,0,0,temporary,0,0,0,0,0,2
162,False,1.0,19.0,7.0,65.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
177,False,3.0,14.0,10.0,307.0,0,0,0,0,employee,0,0,0,0,0,0
185,True,80.0,3622.0,1547.0,12366.0,3,0,0,2,employee,0,62,20.666666666666668,0,0.0,7
193,False,1.0,2.0,66.0,396.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
194,False,1.0,2.0,0.0,83.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
196,False,21.0,3791.0,377.0,3447.0,1,0,0,1,employee,0,11,11.0,0,0.0,1
197,False,1.0,13.0,202.0,1370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
198,False,10.0,58.0,70.0,1006.0,3,0,1,2,employee,0,15,5.0,0,0.0,0
210,True,100.0,1305.0,2854.0,19954.0,3,0,0,2,employee,0,18,6.0,0,0.0,0
220,True,3.0,26.0,166.0,1146.0,2,0,0,2,employee,0,11,5.5,0,1.5,0
225,True,39.0,835.0,759.0,6191.0,5,0,1,1,employee,0,41,8.2,0,1.8,12
226,False,4.0,77.0,8.0,203.0,4,0,0,2,employee,0,31,7.75,0,0.0,0
241,False,2.0,6.0,23.0,299.0,2,0,0,1,employee,0,11,5.5,0,0.5,1
244,True,81.0,1400.0,521.0,6150.0,0,0,0,0,employee,0,0,0,0,0,0
