id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1433,1.0,48.0,82.0,1620.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
974,4.0,196.0,72.0,574.0,0,0,0,0,employee,0,0,0,0,0,0
1569,4.0,43.0,507.0,11233.0,6,1,0,2,employee,1,138,23.0,889,0.3333333333333333,2
1080,5.0,308.0,368.0,7809.0,2,1,0,1,employee,0,15,7.5,0,0.0,0
1121,6.0,219.0,376.0,8224.0,1,1,0,0,employee,0,9,9.0,0,0.0,1
3109,8.0,490.0,201.0,1576.0,0,0,0,0,employee,0,0,0,0,0,0
846,1.0,40.0,8.0,210.0,4,1,1,2,employee,0,32,8.0,0,0.0,0
1560,3.0,375.0,424.0,10050.0,0,0,0,0,employee,0,0,0,0,0,0
805,4.0,132.0,24.0,212.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
4450,57.0,3253.0,1231.0,12262.0,2,1,0,1,employee,1,130,65.0,479,0.0,0
253,1.0,2.0,6.0,96.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
2923,3.0,393.0,464.0,9791.0,1,0,0,1,employee,0,6,6.0,0,0.0,14
1117,4.0,225.0,385.0,8011.0,1,1,0,0,employee,0,9,9.0,0,0.0,1
1369,1.0,2.0,45.0,196.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1742,5.0,84.0,63.0,682.0,0,0,0,0,employee,0,0,0,0,0,0
3091,1.0,6.0,4.0,58.0,0,0,0,0,employee,0,0,0,0,0,0
555,1.0,3.0,295.0,6147.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
730,7.0,490.0,465.0,8651.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1827,1.0,10.0,22.0,171.0,1,0,0,1,temporary,0,9,9.0,0,0.0,0
3322,3.0,806.0,87.0,981.0,0,0,0,0,employee,0,0,0,0,0,0
3034,1.0,18.0,421.0,9503.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
107,92.0,2383.0,973.0,12827.0,0,0,0,0,employee,0,0,0,0,0,0
196,8.0,294.0,463.0,7526.0,18,1,2,1,employee,2,273,15.166666666666666,355,0.5,17
1021,10.0,346.0,66.0,746.0,18,4,2,2,employee,0,352,19.555555555555557,0,0.2777777777777778,9
1126,3.0,50.0,66.0,868.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
244,5.0,81.0,299.0,4959.0,6,1,2,1,employee,0,49,8.166666666666666,0,0.0,0
1534,2.0,186.0,83.0,910.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
3103,2.0,247.0,41.0,435.0,7,0,1,1,employee,0,151,21.571428571428573,0,1.7142857142857142,13
839,14.0,889.0,667.0,11349.0,4,1,0,1,employee,2,228,57.0,992,0.0,0
416,2.0,21.0,231.0,4522.0,3,1,0,1,employee,0,23,7.666666666666667,0,3.0,9
187,1.0,6.0,203.0,3422.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1728,4.0,152.0,73.0,963.0,0,0,0,0,employee,0,0,0,0,0,0
240,1.0,79.0,12.0,102.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
402,3.0,75.0,19.0,376.0,1,1,0,0,employee,0,4,4.0,0,0.0,0
1109,4.0,204.0,374.0,7904.0,1,1,0,0,employee,0,8,8.0,0,0.0,4
1545,8.0,450.0,26.0,521.0,16,1,3,2,employee,0,174,10.875,0,0.5,10
690,2.0,12.0,381.0,7729.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
851,11.0,925.0,490.0,10004.0,3,1,0,2,employee,0,33,11.0,0,0.0,0
1087,5.0,658.0,394.0,8228.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1085,4.0,297.0,376.0,7871.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
814,3.0,143.0,137.0,2679.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
1414,4.0,38.0,210.0,2138.0,0,0,0,0,employee,0,0,0,0,0,0
315,66.0,1485.0,1861.0,28275.0,10,2,0,1,employee,1,258,25.8,103,0.0,0
1593,6.0,494.0,94.0,1514.0,2,0,1,1,employee,0,6,3.0,0,0.0,0
793,567.0,8506.0,6853.0,97246.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1066,2.0,15.0,53.0,537.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1108,7.0,513.0,467.0,9267.0,1,1,0,0,employee,0,8,8.0,0,0.0,4
2767,4.0,97.0,39.0,408.0,4,0,1,2,employee,1,83,20.75,144,0.0,1
970,6.0,389.0,156.0,1192.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
1295,1.0,26.0,23.0,184.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
481,3.0,294.0,262.0,5116.0,2,1,0,1,employee,0,18,9.0,0,0.5,1
3045,1.0,59.0,13.0,118.0,0,0,0,0,employee,0,0,0,0,0,21
820,1.0,100.0,0.0,0.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
2771,2.0,32.0,37.0,336.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
599,100.0,1550.0,1381.0,22014.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
705,1.0,32.0,379.0,7756.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
2759,3.0,366.0,452.0,9828.0,3,0,1,1,employee,0,38,12.666666666666666,0,0.0,1
3353,5.0,128.0,28.0,430.0,0,0,0,0,employee,0,0,0,0,0,0
1417,10.0,313.0,700.0,11666.0,5,1,1,2,employee,0,68,13.6,0,0.0,0
3235,2.0,281.0,371.0,1849.0,0,0,0,0,employee,0,0,0,0,0,0
1457,5.0,297.0,178.0,1528.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
881,3.0,77.0,424.0,8811.0,6,1,1,2,employee,3,318,53.0,721,0.16666666666666666,2
2838,1.0,2.0,411.0,9310.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
3206,2.0,622.0,96.0,624.0,0,0,0,0,employee,0,0,0,0,0,0
626,13.0,651.0,201.0,2104.0,10,1,1,3,employee,0,207,20.7,0,0.5,7
1835,3.0,118.0,417.0,9703.0,9,0,1,1,employee,1,152,16.88888888888889,185,0.4444444444444444,0
1347,2.0,72.0,9.0,324.0,4,1,1,1,employee,0,25,6.25,0,0.5,2
1012,1.0,32.0,32.0,190.0,4,1,0,2,employee,2,306,76.5,1710,0.0,0
894,1.0,17.0,8.0,82.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
207,5.0,293.0,58.0,858.0,4,1,0,1,employee,0,76,19.0,0,0.5,2
895,8.0,230.0,71.0,903.0,2,1,0,0,employee,0,17,8.5,0,0.0,0
3245,8.0,1029.0,494.0,2848.0,0,0,0,0,employee,0,0,0,0,0,0
1973,1.0,118.0,38.0,411.0,2,0,0,2,employee,1,25,12.5,612,0.0,0
533,10.0,2061.0,123.0,2143.0,1,1,0,0,employee,0,8,8.0,0,0.0,6
3047,4.0,1577.0,581.0,11519.0,1,0,0,1,employee,0,5,5.0,0,0.0,21
1713,1.0,3.0,43.0,308.0,0,0,0,0,employee,0,0,0,0,0,0
169,1.0,35.0,190.0,3180.0,2,1,0,1,employee,0,22,11.0,0,3.5,7
129,5.0,17.0,275.0,4029.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
738,2.0,85.0,372.0,7644.0,2,1,0,0,employee,0,16,8.0,0,0.0,2
