id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1108,3.0,82.0,152.0,1136.0,1,0,1,0,employee,0,7,7.0,0,0.0,2
6800,10.0,116.0,341.0,3202.0,3,0,2,0,employee,0,29,9.666666666666666,0,0.0,1
2767,14.0,144.0,424.0,2966.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
7622,1.0,2.0,12.0,175.0,0,0,0,0,employee,0,0,0,0,0,0
8748,1.0,11.0,0.0,10.0,0,0,0,0,employee,0,0,0,0,0,7
4291,3.0,227.0,98.0,582.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
2450,67.0,6710.0,692.0,7602.0,10,0,2,0,employee,0,161,16.1,0,19.9,582
911,17.0,175.0,544.0,5439.0,3,0,2,0,employee,2,95,31.666666666666668,1927,0.3333333333333333,1
9652,10.0,126.0,83.0,2060.0,0,0,0,0,employee,0,0,0,0,0,0
8712,7.0,365.0,160.0,1578.0,5,0,1,0,employee,2,210,42.0,1184,1.0,15
11937,2.0,5.0,55.0,627.0,1,0,1,0,employee,0,10,10.0,0,0.0,0
7573,1.0,52.0,138.0,1157.0,3,0,2,0,employee,2,399,133.0,2394,0.0,15
10827,2.0,60.0,218.0,3210.0,0,0,0,0,employee,0,0,0,0,0,1
5024,1.0,17.0,153.0,786.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
90,11.0,187.0,30.0,400.0,1,0,1,0,employee,0,3,3.0,0,0.0,6
2717,3.0,68.0,186.0,1897.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
6038,9.0,411.0,35.0,569.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
6119,1.0,6.0,34.0,203.0,1,0,1,0,temporary,0,10,10.0,0,0.0,1
20,3.0,209.0,34.0,291.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
8693,19.0,421.0,982.0,9060.0,1,0,1,0,employee,0,7,7.0,0,0.0,51
2820,15.0,518.0,146.0,1964.0,1,0,1,0,employee,0,7,7.0,0,0.0,1
442,15.0,414.0,264.0,2602.0,2,0,1,0,employee,0,7,3.5,0,0.0,0
3962,59.0,1231.0,1220.0,10577.0,2,0,2,0,employee,0,18,9.0,0,8.5,18
10277,21.0,381.0,480.0,3807.0,2,0,2,0,employee,1,64,32.0,239,0.0,0
8629,35.0,1198.0,801.0,7195.0,15,0,5,0,employee,0,238,15.866666666666667,0,7.4,122
230,29.0,1395.0,-20.0,-2581.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
6267,1.0,4.0,126.0,530.0,0,0,0,0,employee,0,0,0,0,0,0
9710,1.0,3.0,68.0,371.0,1,0,1,0,employee,0,11,11.0,0,0.0,12
9235,1.0,5.0,1.0,9.0,1,0,1,0,employee,0,6,6.0,0,0.0,6
232,4.0,152.0,186.0,1046.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1036,44.0,441.0,1851.0,16382.0,3,0,3,0,employee,0,13,4.333333333333333,0,0.0,13
4777,4.0,323.0,96.0,1143.0,3,0,2,0,employee,0,30,10.0,0,1.6666666666666667,64
3489,8.0,313.0,133.0,1601.0,2,0,2,0,employee,0,6,3.0,0,2.5,8
8987,4.0,10.0,106.0,947.0,0,0,0,0,employee,0,0,0,0,0,3
25,15.0,666.0,356.0,2935.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
11004,1.0,6.0,5.0,194.0,0,0,0,0,employee,0,0,0,0,0,0
3210,5.0,46.0,170.0,1481.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
7052,2.0,5.0,25.0,166.0,0,0,0,0,employee,0,0,0,0,0,0
4870,1.0,3.0,128.0,698.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
134,2.0,4.0,81.0,946.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
2244,5.0,60.0,330.0,3311.0,2,0,1,0,employee,0,8,4.0,0,0.5,2
1726,2.0,26.0,66.0,545.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
3613,3.0,13.0,150.0,956.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
4766,6.0,119.0,74.0,1285.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
5948,13.0,384.0,248.0,1875.0,1,0,1,0,employee,0,6,6.0,0,0.0,1
