id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
490,5.0,382.0,511.0,5451.0,7,0,2,1,employee,0,58,8.285714285714286,0,0.0,0
4480,1.0,8.0,175.0,1080.0,0,0,0,0,employee,0,0,0,0,0,0
3143,4.0,70.0,122.0,1313.0,1,0,0,1,employee,0,6,6.0,0,0.0,0
412,2.0,219.0,27.0,221.0,5,0,1,1,employee,0,22,4.4,0,0.0,0
818,11.0,99.0,281.0,3145.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
489,15.0,98.0,682.0,5358.0,4,1,1,1,employee,0,46,11.5,0,2.25,0
126,1.0,6.0,42.0,258.0,1,0,0,1,employee,0,10,10.0,0,0.0,0
4489,2.0,119.0,342.0,4290.0,0,0,0,0,employee,0,0,0,0,0,0
1967,15.0,498.0,977.0,8944.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
3060,1.0,5.0,84.0,591.0,0,0,0,0,employee,0,0,0,0,0,0
468,6.0,94.0,319.0,2868.0,0,0,0,0,employee,0,0,0,0,0,0
524,8.0,499.0,414.0,3042.0,2,0,1,0,employee,0,16,8.0,0,0.0,0
1279,1.0,2.0,22.0,188.0,2,0,1,1,employee,0,7,3.5,0,0.0,0
1322,1.0,1.0,38.0,261.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
4807,4.0,529.0,98.0,877.0,0,0,0,0,employee,0,0,0,0,0,1
4989,1.0,344.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
555,14.0,711.0,774.0,6728.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
1312,10.0,102.0,250.0,2925.0,1,0,0,1,employee,0,2,2.0,0,0.0,1
3134,1.0,18.0,3.0,38.0,8,0,1,1,employee,0,225,28.125,0,0.375,1
4973,2.0,10.0,28.0,658.0,0,0,0,0,employee,0,0,0,0,0,0
793,5.0,210.0,117.0,1235.0,3,1,2,0,employee,0,14,4.666666666666667,0,0.0,0
1295,7.0,93.0,1032.0,10463.0,1,0,1,0,employee,1,35,35.0,701,0.0,0
2055,9.0,115.0,521.0,3700.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
1257,4.0,84.0,457.0,3502.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
3353,1.0,26.0,54.0,331.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
1480,2.0,13.0,64.0,478.0,0,0,0,0,employee,0,0,0,0,0,0
729,11.0,109.0,665.0,3935.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
418,1.0,19.0,123.0,742.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
3206,3.0,135.0,254.0,3489.0,2,0,0,1,employee,0,25,12.5,0,0.0,0
2164,2.0,36.0,529.0,3032.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
2499,1.0,9.0,49.0,306.0,2,1,0,1,employee,0,14,7.0,0,0.0,0
533,11.0,380.0,657.0,3974.0,3,0,2,1,employee,1,53,17.666666666666668,1132,0.3333333333333333,2
1713,1.0,35.0,165.0,2292.0,0,0,0,0,employee,0,0,0,0,0,0
564,3.0,268.0,233.0,1522.0,2,0,0,1,employee,1,48,24.0,1207,0.0,0
3108,3.0,32.0,136.0,1792.0,0,0,0,0,employee,0,0,0,0,0,1
780,4.0,112.0,151.0,1596.0,0,0,0,0,employee,0,0,0,0,0,0
5670,2.0,157.0,362.0,5375.0,0,0,0,0,employee,0,0,0,0,0,0
4127,2.0,77.0,185.0,2112.0,9,1,1,1,employee,0,1603,178.11111111111111,0,0.2222222222222222,5
297,3.0,43.0,496.0,3584.0,10,0,2,1,employee,0,104,10.4,0,0.0,0
4339,2.0,15.0,481.0,3384.0,0,0,0,0,employee,0,0,0,0,0,0
1821,1.0,2.0,87.0,730.0,0,0,0,0,employee,0,0,0,0,0,0
1783,3.0,100.0,483.0,2761.0,0,0,0,0,employee,0,0,0,0,0,0
1291,1.0,4.0,146.0,900.0,1,0,1,0,employee,1,43,43.0,1127,0.0,0
1323,1.0,1.0,49.0,338.0,0,0,0,0,employee,0,0,0,0,0,0
2990,10.0,894.0,260.0,1671.0,0,0,0,0,employee,0,0,0,0,0,0
2657,6.0,312.0,386.0,2703.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
2174,11.0,200.0,965.0,10531.0,0,0,0,0,employee,0,0,0,0,0,0
162,5.0,1271.0,223.0,1511.0,3,0,1,1,employee,0,33,11.0,0,0.0,0
2714,49.0,1463.0,1702.0,14405.0,0,0,0,0,employee,0,0,0,0,0,0
786,5.0,53.0,300.0,1837.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
261,20.0,33.0,414.0,3589.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
2660,7.0,895.0,424.0,2631.0,0,0,0,0,employee,0,0,0,0,0,0
1654,2.0,92.0,246.0,2345.0,0,0,0,0,employee,0,0,0,0,0,0
2195,2.0,26.0,67.0,888.0,2,0,2,0,employee,0,108,54.0,0,0.0,0
1852,1.0,12.0,30.0,338.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
4124,13.0,236.0,407.0,3316.0,0,0,0,0,employee,0,0,0,0,0,0
4634,19.0,179.0,769.0,5291.0,0,0,0,0,employee,0,0,0,0,0,0
403,1.0,43.0,30.0,380.0,2,0,1,1,employee,0,15,7.5,0,0.0,1
1254,3.0,131.0,382.0,4273.0,5,0,2,1,employee,1,37,7.4,186,0.0,0
1235,2.0,23.0,76.0,741.0,0,0,0,0,employee,0,0,0,0,0,0
