id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
515,1.0,14.0,33.0,206.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
2225,1.0,31.0,106.0,657.0,4,1,0,2,employee,0,67,16.75,0,0.0,0
2569,48.0,613.0,2457.0,12954.0,0,0,0,0,employee,0,0,0,0,0,0
1806,50.0,897.0,1868.0,13098.0,0,0,0,0,employee,0,0,0,0,0,0
2423,249.0,7394.0,6312.0,42636.0,4,2,0,1,temporary,0,30,7.5,0,0.0,0
460,2.0,4.0,-10.0,-54.0,0,0,0,0,employee,0,0,0,0,0,0
5623,166.0,7295.0,6940.0,53887.0,10,0,2,1,employee,0,157,15.7,0,49.9,499
490,1.0,9.0,62.0,384.0,0,0,0,0,employee,0,0,0,0,0,1
26,77.0,5191.0,968.0,9930.0,13,1,0,3,employee,2,545,41.92307692307692,2042,0.9230769230769231,30
126,52.0,5923.0,377.0,4867.0,0,0,0,0,employee,0,0,0,0,0,0
2030,386.0,9265.0,13014.0,95008.0,3,1,0,1,temporary,0,27,9.0,0,0.0,1
42,1.0,2.0,19.0,145.0,0,0,0,0,employee,0,0,0,0,0,0
193,1.0,2.0,66.0,396.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
151,4.0,0.0,0.0,0.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
70,3.0,60.0,74.0,617.0,4,1,0,2,temporary,0,33,8.25,0,0.0,0
51,37.0,283.0,2822.0,18215.0,1,0,0,1,employee,0,2,2.0,0,0.0,2
225,39.0,835.0,759.0,6191.0,5,0,1,1,employee,0,41,8.2,0,1.8,12
136,5.0,171.0,17.0,445.0,0,0,0,0,employee,0,0,0,0,0,0
2505,925.0,44155.0,32074.0,230679.0,2,2,0,0,temporary,0,16,8.0,0,0.0,0
