design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,43.0,557.0,2402.0,17218.0,0,0,0,0,employee,0,0,0,0,0,119
True,5.0,453.0,43.0,458.0,0,0,0,0,employee,0,0,0,0,0,89
False,5.0,122.0,78.0,833.0,1,0,0,1,employee,0,4,4.0,0,0.0,81
True,77.0,5191.0,968.0,9930.0,13,1,0,3,employee,2,545,41.92307692307692,2042,0.9230769230769231,30
True,241.0,9391.0,3307.0,25860.0,9,0,0,3,employee,0,123,13.666666666666666,0,3.3333333333333335,55
False,8.0,60.0,269.0,2171.0,0,0,0,0,employee,0,0,0,0,0,0
False,4.0,44.0,92.0,771.0,0,0,0,0,employee,0,0,0,0,0,0
True,26.0,216.0,378.0,3809.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,2.0,19.0,145.0,0,0,0,0,employee,0,0,0,0,0,0
True,21.0,176.0,18.0,1913.0,2,0,0,2,employee,0,15,7.5,0,0.0,0
False,2.0,36.0,31.0,451.0,6,0,1,2,employee,0,55,9.166666666666666,0,0.16666666666666666,2
False,4.0,107.0,503.0,4952.0,0,0,0,0,employee,0,0,0,0,0,0
False,2.0,24.0,42.0,257.0,5,1,0,1,temporary,0,39,7.8,0,0.2,1
True,30.0,158.0,1554.0,11014.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
False,37.0,283.0,2822.0,18215.0,1,0,0,1,employee,0,2,2.0,0,0.0,2
False,127.0,275.0,4497.0,36260.0,0,0,0,0,employee,0,0,0,0,0,0
True,6.0,501.0,27.0,507.0,2,1,0,1,employee,0,26,13.0,0,183.0,0
False,1.0,12.0,4.0,12.0,0,0,0,0,employee,0,0,0,0,0,0
True,22.0,2421.0,1120.0,7129.0,9,0,0,3,employee,0,168,18.666666666666668,0,0.0,8
False,3.0,60.0,74.0,617.0,4,1,0,2,temporary,0,33,8.25,0,0.0,0
False,1.0,10.0,50.0,304.0,3,0,0,2,employee,0,31,10.333333333333334,0,0.0,0
True,22.0,396.0,98.0,903.0,8,0,1,2,employee,0,98,12.25,0,0.0,0
False,4.0,80.0,28.0,341.0,11,0,0,3,employee,0,127,11.545454545454545,0,0.36363636363636365,6
True,14.0,1930.0,136.0,1619.0,1,0,0,1,employee,0,17,17.0,0,0.0,2
False,5.0,10.0,15.0,425.0,0,0,0,0,employee,0,0,0,0,0,0
False,533.0,1227.0,8564.0,85879.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
False,1.0,10.0,45.0,580.0,0,0,0,0,employee,0,0,0,0,0,0
True,11.0,209.0,106.0,1257.0,4,0,1,2,employee,0,25,6.25,0,0.75,0
True,23.0,622.0,204.0,2472.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,77.0,2.0,78.0,1,0,0,1,employee,0,10,10.0,0,0.0,0
False,8.0,11.0,113.0,1517.0,0,0,0,0,employee,0,0,0,0,0,2
False,7.0,81.0,95.0,1105.0,4,0,0,2,employee,0,28,7.0,0,0.0,0
False,52.0,5923.0,377.0,4867.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
False,50.0,6390.0,409.0,5102.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
False,4.0,167.0,15.0,367.0,1,0,0,1,employee,0,7,7.0,0,0.0,1
False,5.0,171.0,17.0,445.0,0,0,0,0,employee,0,0,0,0,0,0
False,4.0,0.0,0.0,0.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,1.0,26.0,7.0,64.0,0,0,0,0,temporary,0,0,0,0,0,0
False,1.0,17.0,21.0,173.0,0,0,0,0,temporary,0,0,0,0,0,2
False,1.0,19.0,7.0,65.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
False,3.0,14.0,10.0,307.0,0,0,0,0,employee,0,0,0,0,0,0
True,80.0,3622.0,1547.0,12366.0,3,0,0,2,employee,0,62,20.666666666666668,0,0.0,7
False,1.0,2.0,66.0,396.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
False,1.0,2.0,0.0,83.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
False,21.0,3791.0,377.0,3447.0,1,0,0,1,employee,0,11,11.0,0,0.0,1
False,1.0,13.0,202.0,1370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
False,10.0,58.0,70.0,1006.0,3,0,1,2,employee,0,15,5.0,0,0.0,0
True,100.0,1305.0,2854.0,19954.0,3,0,0,2,employee,0,18,6.0,0,0.0,0
True,3.0,26.0,166.0,1146.0,2,0,0,2,employee,0,11,5.5,0,1.5,0
True,39.0,835.0,759.0,6191.0,5,0,1,1,employee,0,41,8.2,0,1.8,12
True,4.0,77.0,8.0,203.0,4,0,0,2,employee,0,31,7.75,0,0.0,0
False,2.0,6.0,23.0,299.0,2,0,0,1,employee,0,11,5.5,0,0.5,1
True,81.0,1400.0,521.0,6150.0,0,0,0,0,employee,0,0,0,0,0,0
True,64.0,3363.0,958.0,8028.0,6,0,0,3,employee,0,58,9.666666666666666,0,0.16666666666666666,0
False,3.0,144.0,7.0,16.0,0,0,0,0,employee,0,0,0,0,0,0
False,10.0,75.0,408.0,3636.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
False,34.0,427.0,361.0,4402.0,2,0,1,1,employee,0,16,8.0,0,0.0,0
False,28.0,390.0,93.0,1524.0,1,0,0,1,employee,0,8,8.0,0,0.0,1
True,9.0,553.0,809.0,5337.0,7,0,0,3,employee,0,224,32.0,0,0.0,1
False,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
False,9.0,106.0,110.0,1470.0,0,0,0,0,employee,0,0,0,0,0,0
False,8.0,272.0,180.0,2080.0,5,0,0,2,employee,0,74,14.8,0,0.0,0
False,2.0,4.0,22.0,338.0,0,0,0,0,employee,0,0,0,0,0,0
True,3.0,200.0,205.0,1497.0,1,0,0,1,temporary,0,4,4.0,0,0.0,0
False,2.0,9.0,85.0,904.0,2,0,0,2,employee,0,49,24.5,0,0.0,0
True,8.0,522.0,192.0,2152.0,0,0,0,0,employee,0,0,0,0,0,0
False,8.0,126.0,476.0,2877.0,4,0,1,1,employee,0,27,6.75,0,0.0,0
True,43.0,3023.0,881.0,6841.0,1,0,0,1,temporary,0,3,3.0,0,0.0,0
True,2.0,14.0,50.0,433.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,8.0,91.0,370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
False,1.0,84.0,128.0,722.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
False,1.0,69.0,9.0,126.0,0,0,0,0,employee,0,0,0,0,0,1
False,11.0,114.0,257.0,1922.0,6,0,1,1,employee,0,83,13.833333333333334,0,0.0,1
False,1.0,62.0,13.0,149.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,8.0,15.0,165.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,77.0,9.0,111.0,0,0,0,0,employee,0,0,0,0,0,0
False,9.0,406.0,33.0,699.0,5,0,1,2,employee,0,25,5.0,0,0.0,0
False,2.0,16.0,73.0,623.0,2,0,1,1,employee,0,16,8.0,0,0.0,0
False,1.0,7.0,122.0,779.0,0,0,0,0,employee,0,0,0,0,0,0
